feature,mean_importance
cnit_m10mcdvpgw7j592,-3.469446951953614e-18
tvv_gse20,-3.469446951953614e-18
cnit_m10mcdvpgw7g493,-2.7755575615628915e-18
tvv_hc,-2.7755575615628915e-18
cnit_m10mcdvpgw71744,-2.7755575615628915e-18
cnit_m10fatvp001k565,-2.7755575615628915e-18
cnit_m10pelvp253j535,-2.7755575615628915e-18
cnit_m10mcdvp3243293,-2.7755575615628915e-18
cnit_m10mcdvpgw7b427,-2.7755575615628915e-18
cnit_m10fatvp0262849,-2.0816681711721684e-18
tvv_2f,-2.0816681711721684e-18
cnit_m10mcdvpgw7g565,-2.0816681711721684e-18
tvv_639,-2.0816681711721684e-18
cnit_m10mcdvpgw7h663,-2.0816681711721684e-18
cnit_m10alfvp0000324,-2.0816681711721684e-18
tvv_ahxbbw,-2.0816681711721684e-18
cnit_m10mcdvpgw7g687,-2.0816681711721684e-18
cnit_m10mcdvpgw7j470,-2.0816681711721684e-18
cnit_m10mcdvpgw72418,-2.0816681711721684e-18
tvv_s19,-2.0816681711721684e-18
cnit_m10mcdvpgw7b488,-2.0816681711721684e-18
tvv_xa3,-2.0816681711721684e-18
tvv_uvf45r,-2.0816681711721684e-18
cnit_m10mcdvpgw72454,-2.0816681711721684e-18
cnit_m10mcdvpgw7j302,-2.0816681711721684e-18
cnit_m10mcdvpgw7c622,-2.0816681711721684e-18
cnit_m10mcdvpgw7c586,-1.3877787807814458e-18
cnit_m10mcdvpgw7g662,-1.3877787807814458e-18
cnit_m10mcdvpgw7c561,-1.3877787807814458e-18
cnit_m10mcdvpgw7b524,-1.3877787807814458e-18
cnit_m10mcdvpgw7h566,-1.3877787807814458e-18
cnit_m10mcdvpgw7f564,-1.3877787807814458e-18
cnit_m10mcdvpgw7f589,-1.3877787807814458e-18
cnit_m10mcdvpgw7f661,-1.3877787807814458e-18
cnit_m10mcdvpgw7g590,-1.3877787807814458e-18
cnit_m10mcdvpgw7f783,-1.3877787807814458e-18
tvv_1j,-1.3877787807814458e-18
cnit_m10mcdvpgw7j690,-1.3877787807814458e-18
tvv_zwa10l,-1.3877787807814458e-18
tvv_xe2,-1.3877787807814458e-18
tvv_usf40,-1.3877787807814458e-18
tvv_use20,-1.3877787807814458e-18
tvv_mg,-1.3877787807814458e-18
tvv_ksp130l,-1.3877787807814458e-18
tvv_he15u,-1.3877787807814458e-18
tvv_gwl10r,-1.3877787807814458e-18
tvv_gwl10l,-1.3877787807814458e-18
tvv_gse30,-1.3877787807814458e-18
tvv_awxgkw,-1.3877787807814458e-18
tvv_awl10,-1.3877787807814458e-18
tvv_ale20,-1.3877787807814458e-18
tvv_aetlhw,-1.3877787807814458e-18
tvv_3k,-1.3877787807814458e-18
tvv_2k,-1.3877787807814458e-18
tvv_2h,-1.3877787807814458e-18
cnit_m10mcdvpgw75712,-1.3877787807814458e-18
tvv_00,-1.3877787807814458e-18
tvv_zwa10r,-1.3877787807814458e-18
cnit_m10mcdvpgw75615,-1.3877787807814458e-18
lib_mrq,-1.3877787807814458e-18
tvv_zwe186,-1.3877787807814458e-18
cnit_m10mcdvpgw71647,-1.3877787807814458e-18
gamme,-1.3877787807814458e-18
cnit_m10dacvp0008731,-1.3877787807814458e-18
ptcl,-1.3877787807814458e-18
nox,-1.3877787807814458e-18
cnit_m10fatvp007r335,-1.3877787807814458e-18
cnit_m10mcdvpgw70549,-1.3877787807814458e-18
cnit_m10mcdvpgw73516,-1.3877787807814458e-18
cnit_m10fatvp001j854,-1.3877787807814458e-18
cnit_m10mcdvpgw70452,-1.3877787807814458e-18
cnit_m10mcdvpgw73552,-1.3877787807814458e-18
cnit_m10fatvp0265852,-1.3877787807814458e-18
tvv_ave30,-6.938893903907229e-19
Carrosserie,-6.938893903907229e-19
tvv_ahxebw,-6.938893903907229e-19
cnit_m10pelvp1980112,-6.938893903907229e-19
cnit_m10fatvp026f862,-6.938893903907229e-19
tvv_aezghw,-6.938893903907229e-19
cnit_m10alfvp000p445,-6.938893903907229e-19
tvv_1e,-6.938893903907229e-19
tvv_1k,-6.938893903907229e-19
tvv_3l,-6.938893903907229e-19
tvv_2l,-6.938893903907229e-19
tvv_ave30r,-6.938893903907229e-19
tvv_1ps,-6.938893903907229e-19
tvv_2e,-6.938893903907229e-19
tvv_1s,-6.938893903907229e-19
tvv_awl10l,-6.938893903907229e-19
tvv_betqhw,-6.938893903907229e-19
cnit_m10mcdvp324e534,-6.938893903907229e-19
lib_mod_doss,-6.938893903907229e-19
tvv_zwa10,-6.938893903907229e-19
tvv_xp13m,-6.938893903907229e-19
tvv_xp12,-6.938893903907229e-19
tvv_uvf46r,-6.938893903907229e-19
hybride,-6.938893903907229e-19
tvv_phantom,-6.938893903907229e-19
tvv_nlp13f,-6.938893903907229e-19
tvv_nlp130l,-6.938893903907229e-19
typ_boite_nb_rapp,-6.938893903907229e-19
masse_ordma_max,-6.938893903907229e-19
tvv_mc,-6.938893903907229e-19
tvv_hal1,-6.938893903907229e-19
tvv_gyl15r,-6.938893903907229e-19
tvv_gse20r,-6.938893903907229e-19
tvv_grl11r,-6.938893903907229e-19
tvv_grl11,-6.938893903907229e-19
tvv_fezrhw,-6.938893903907229e-19
tvv_fcrafw,-6.938893903907229e-19
tvv_et,-6.938893903907229e-19
tvv_ea,-6.938893903907229e-19
tvv_bexqbw,-6.938893903907229e-19
tvv_ksp13f,-6.938893903907229e-19
cnit_m10mcdvpgw7j629,-6.938893903907229e-19
cnit_m10mcdvpgw74747,-6.938893903907229e-19
